trg
Go.
Run!
Run!
Fire!
Help!
Jump.
Stop!
Stop!
Stop!
Wait!
Wait!
Go on.
Go on.
Go on.
I see.
I try.
I won!
I won!
Oh no!
Attack!
Attack!
Cheers!
Cheers!
Cheers!
Cheers!
Get up.
Go now.
Go now.
Go now.
Got it!
Got it!
Got it?
Got it?
Got it?
Hop in.
Hop in.
Hug me.
Hug me.
I fell.
I fell.
I know.
I left.
I left.
I lost.
I'm 19.
I'm OK.
I'm OK.
Listen.
No way!
No way!
No way!
No way!
No way!
No way!
No way!
No way!
No way!
Really?
Really?
Really?
Thanks.
We try.
We won.
We won.
We won.
We won.
Ask Tom.
Awesome!
Be calm.
Be calm.
Be calm.
Be cool.
Be fair.
Be fair.
Be fair.
Be fair.
Be fair.
Be fair.
Be kind.
Be nice.
Be nice.
Be nice.
Be nice.
Be nice.
Be nice.
Beat it.
Call me.
Call me.
Call us.
Call us.
Come in.
Come in.
Come in.
Come in.
Come on!
Come on.
Come on.
Come on.
Drop it!
Drop it!
Drop it!
Drop it!
Get out!
Get out!
Get out!
Get out.
Get out.
Go away!
Go away!
Go away.
Go away.
Go away.
Go away.
Go away.
Go away.
Go away.
Go away.
Go slow.
Go slow.
Goodbye!
Hang on!
Hang on!
Hang on.
Hang on.
He quit.
He quit.
He runs.
Help me!
Help me.
Help me.
Help us.
Help us.
Hold it!
Hold on.
Hug Tom.
I agree.
I drive.
I tried.
I tried.
I tried.
I'll go.
I'm fat.
I'm fat.
I'm fit.
I'm hit!
I'm hit!
I'm ill.
I'm sad.
I'm shy.
I'm wet.
I'm wet.
It's me!
Join us.
Join us.
Keep it.
Keep it.
Kiss me.
Kiss me.
"Me, too."
Open up.
Open up.
Perfect!
See you.
Show me.
Show me.
Shut up!
Shut up!
Shut up!
Shut up!
Shut up!
So long.
Take it.
Take it.
Tell me.
Tell me.
Tom won.
Wake up!
Wake up!
Wake up!
Wake up.
Wake up.
Wash up.
Wash up.
We know.
We lost.
We lost.
We lost.
We lost.
We lost.
We lost.
We lost.
We lost.
We lost.
We lost.
Who won?
Who won?
You run.
Am I fat?
Am I fat?
Ask them.
Ask them.
Back off!
Back off!
Back off.
Back off.
Back off.
Back off.
Be a man.
Be a man.
Be still.
Be still.
Be still.
Beats me.
Beats me.
Call Tom.
Call Tom.
Cheer up!
Cool off!
Cuff him.
Drive on.
Drive on.
Drive on.
Drive on.
Find Tom.
Find Tom.
Get down!
Get down.
Get down.
Get down.
Get down.
Get lost!
Get lost!
Get lost!
Get real!
Go ahead.
Go ahead.
Go ahead.
Go ahead.
Good job!
Good job!
Good job!
Grab him.
Grab him.
Have fun.
Have fun.
He tries.
He's wet.
Help Tom.
Help Tom.
"Hi, guys."
How cute!
How deep?
How nice!
How nice!
How nice!
How nice!
Humor me.
Hurry up.
Hurry up.
Hurry up.
Hurry up.
I am fat.
I did OK.
I did OK.
